5_digit_zip,payment_usd
00237,44058.8
00611,113106.0
00612,70745.22
00613,588846.8899999999
00646,4576.0
00660,3659.65
00674,690439.6900000002
00680,17064.239999999998
00681,303434.0
00705,163112.5
00716,513811.4199999998
00717,607257.2700000004
00725,500197.3999999999
00726,257583.05999999994
00727,47320.33
00732,506836.97
00733,24994.0
00736,14249.0
00739,37061.07
00745,13646.62
00767,18954.0
00771,13004.68
00780,14589.889999999996
00791,12698.720000000001
00802,1500.0
00901,3332.67
00902,659.24
00907,68846.2
00908,2100.0
00909,2984768.79
00910,133820.63
00912,43678.74000000002
00917,2748742.250000001
00918,857195.3100000003
00919,3626908.54
00921,90812.87999999999
00922,1198.9
00923,10780.0
00925,62772.0
00926,487985.5299999999
00927,1123943.9100000001
00933,58320.87
00935,44329.210000000014
00936,780626.7899999998
00937,94254.5
00949,25228.04
00950,11521.0
00953,70091.45000000001
00956,54663.26
00959,181467.87999999998
00960,1528.31
00961,192005.92000000004
00968,171635.13
00969,33667.09
00976,15166.580000000002
00983,55146.34
00985,8338.05
00987,559452.56
01003,29642.0
01035,165841.27
01040,2563.8500000000004
01053,618.0
01095,3384.2299999999996
01104,3078.7
01105,234370.89
01107,202267.99
01109,60000.0
01199,432113.5
01201,50135.560000000005
01230,82166.67000000001
01247,20090.0
01267,24550.0
01453,32108.25
01462,9317.19
01523,13237.61
01545,357147.5699999987
01550,405.0
01601,14094.4
01602,149372.3
01604,172980.0
01605,531032.3100000002
01608,41408.96
01610,700899.2300000001
01655,2902160.5200000014
01702,2396.87
01742,21522.71
01752,314475.35000000003
01760,82373.2
01770,666.5
01772,1519160.25
01778,1700.0
01801,39408.97
01803,334563.25
01805,938328.5200000006
01810,108981.70999999999
01821,176093.80000000002
01824,3762.94
01830,468731.46
01840,29407.050000000003
01841,13826.099999999999
01843,5738.5
01844,1053507.2099999997
01845,2169.0
01851,41961.6
01853,167.77
01854,142257.2
01863,1400.0
01880,21760.0
01890,877547.52
01905,1350.0
01907,61250.0
01915,52087.05
01923,94688.66
01930,29357.16
01938,2150.0
01950,10872.83
01952,91.41
01960,11060.0
01970,521.8
02021,1100022.0400000005
02035,140360.31
02062,2812.5
02090,64392.0
02093,155763.56
02109,35508.8
02110,3000.0
02111,9506403.029999996
02112,52.24
02114,45546512.67000002
02115,114472879.74000016
02116,10719.75
02118,2961510.81
02119,40841.17
02120,33846.25
02124,3676.8199999999997
02125,23363.53
02127,1235504.2500000002
02129,841027.1300000001
02130,401146.85
02131,654644.1799999999
02132,38442.7
02135,615967.62
02138,736303.8599999999
02139,873421.0
02140,2500.0
02141,79500.0
02142,4489429.78
02145,93052.0
02148,1400.0
02150,197.46
02155,44213.0
02167,20151.41
02169,1458798.1800000002
02171,1382600.4200000002
02189,5890.29
02190,18889.85
02191,145271.81000000003
02199,694827.65
02205,91640.05
02215,97601391.50000006
02238,52360.0
02241,8397304.959999997
02243,24785.87
02244,28680.55
02251,10567.4
02284,161457.52
02301,319301.52
02302,35574.950000000004
02315,2000.0
02339,150.0
02356,12487.36
02360,41124.06
02421,46794.0
02445,278205.88999999996
02446,1875.0
02451,6276995.230000001
02452,150000.0
02453,200613.4200000001
02459,255212.46000000002
02461,15800.0
02462,75810.59999999998
02467,530375.32
02472,2691783.8
02478,138472.31
02481,610767.7
02492,258852.76
02493,17700.0
02494,56159.439999999995
02554,5400.0
02601,13815.46
02673,91324.37
02703,56160.17999999999
02719,6512.250000000001
02720,444038.2699999996
02721,315355.68999999994
02724,1000.0
02726,4475.0
02740,1806053.5699999998
02747,4539435.29
02748,55012.0
02760,1493.7199999999998
02766,82736.0
02767,3591.16
02813,7578.4
02818,156478.74000000002
02831,12581.57
02840,2219367.3600000003
02860,190197.18
02864,109409.99999999999
02865,14642.699999999997
02878,10440.71
02879,20410.0
02886,1185629.8
02888,229843.09999999995
02891,1587.58
02893,139332.0
02901,1953119.4699999995
02903,266910.53999999986
02905,599188.3400000001
02906,1848949.0600000005
02908,448271.87
02909,363.96
02910,50.0
02912,7800.0
02914,188870.98
02919,551133.61
02920,8969.65
03060,156235.09
03062,60290.25
03063,312847.83999999997
03101,30.0
03102,170987.44999999998
03103,769.5
03104,11940.0
03106,106890.40000000001
03110,21250.0
03257,3025.6800000000003
03301,6064.200000000001
03743,12461.53
03755,121638.5
03756,6234570.369999997
03784,463349.0
03801,1209048.26
03820,22130.2
03857,450.0
03867,22638.08
03909,52178.16
04005,242.6
04070,97.28
04074,751513.04
04096,80.0
04101,75671.73999999999
04102,1585818.0800000008
04103,26335.0
04106,314498.64
04210,251540.92000000022
04240,72746.29
04401,1195968.18
04402,117717.00000000001
04412,500755.87999999983
04841,5246.4
04856,25707.029999999995
04915,79564.5
05001,67258.75
05009,64001.130000000005
05091,177795.54
05201,410898.31000000006
05401,1991263.829999998
05402,620704.7400000001
05403,286596.1599999999
05405,228074.71
05446,57536.2
05544,16642.0
05650,9152.6
05661,8969.0
05701,1000.0
05733,2750.0
06001,36571.770000000004
06010,358602.3
06016,16912.15
06019,7012.5
06030,2092308.4000000006
06032,255329.59999999995
06033,1094.53
06034,43216.9
06040,22763.8
06053,70429.82
06062,7575.1
06102,2139686.1799999983
06105,13774.5
06106,679081.6599999999
06109,59.34
06112,14009.7
06115,158660.65
06150,36870.8
06152,4315.34
06158,35360.0
06269,77765.5
06320,221559.75999999998
06360,212644.13999999996
06405,30.0
06410,350.0
06416,450.91
06418,37564.100000000006
06443,1750.0
06457,78170.08000000002
06460,139163.04
06461,6160.0
06470,250.0
06484,253435.91999999998
06489,125729.45999999999
06492,30.0
06501,15246.1
06504,1343524.2700000003
06508,1243763.4800000002
06510,21207930.830000006
06511,4685915.400000002
06514,453812.33
06516,106104.89
06517,8898.789999999997
06518,606843.2900000003
06519,1810478.1799999997
06520,5611123.299999999
06606,170111.24000000002
06610,84863.34
06611,1177406.3099999991
06614,21807.989999999998
06708,994415.3700000017
